what,kind,bundleId,bundleVersion,description,time
started,bundle,org.jboss.tools.cdi.seam.core,1.2.0.v20120604-2107-H84-CR1,"org.jboss.tools.cdi.seam.core",1341816717620
started,bundle,org.jboss.tools.seam.core,3.3.0.v20120604-2231-H127-CR1,"org.jboss.tools.seam.core",1341816717630
started,bundle,org.jboss.tools.seam.ui,3.3.0.v20120604-2231-H127-CR1,"org.jboss.tools.seam.ui",1341816717636
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341816721469
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1341816724801
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341816724816
started,bundle,org.eclipse.m2e.launching,1.0.200.20111228-1245,"org.eclipse.m2e.launching",1341816724940
started,bundle,org.jboss.ide.eclipse.freemarker,1.2.0.v20120604-2031-H92-CR1,"org.jboss.ide.eclipse.freemarker",1341816724944
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1341816725597
started,bundle,org.jboss.tools.common.projecttemplates,3.3.0.v20120604-1949-H73-CR1,"org.jboss.tools.common.projecttemplates",1341816727098
started,bundle,org.jboss.tools.jst.web,3.3.0.v20120604-2032-H84-CR1,"org.jboss.tools.jst.web",1341816727098
started,bundle,org.jboss.tools.common.text.ext,3.3.0.v20120604-1949-H73-CR1,"org.jboss.tools.common.text.ext",1341816727099
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1341816734058
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341816750010
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341817430667
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341817459912
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341819988806
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341819992832
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341820441006
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1341820443635
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1341820446901
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1341820449666
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1341820456555
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341820459534
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341821488168
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1341821494032
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1341821499059
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341821499830
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341821526572
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1341821531012
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341821531610
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341821811147
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341821813188
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341821820417
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1341821822576
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341821827069
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1341821828480
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341821836697
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1341821836807
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1341821836855
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1341821838869
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1341821840140
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1341821843870
started,bundle,org.jboss.tools.cdi.seam.text.ext,1.2.0.v20120604-2107-H84-CR1,"org.jboss.tools.cdi.seam.text.ext",1341821843960
started,bundle,org.jboss.tools.cdi.text.ext,1.2.0.v20120604-2107-H84-CR1,"org.jboss.tools.cdi.text.ext",1341821843966
started,bundle,org.jboss.tools.seam.text.ext,3.3.0.v20120604-2231-H127-CR1,"org.jboss.tools.seam.text.ext",1341821843970
started,bundle,org.eclipse.mylyn.java.tasks,3.7.1.v20120425-0100,"org.eclipse.mylyn.java.tasks",1341821843973
started,bundle,org.jboss.tools.jst.text.ext,3.3.0.v20120604-2032-H84-CR1,"org.jboss.tools.jst.text.ext",1341821843978
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1341821844956
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1341821850094
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1341821851855
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341821854644
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341821854853
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1341821856320
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1341821858464
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1341821860351
started,bundle,org.jboss.tools.ws.jaxrs.ui,1.2.2.v20120605-1934-H134-CR1,"org.jboss.tools.ws.jaxrs.ui",1341821861708
started,bundle,org.jboss.tools.ws.jaxrs.core,1.2.2.v20120605-1934-H134-CR1,"org.jboss.tools.ws.jaxrs.core",1341821861710
started,bundle,org.eclipse.jpt.jpa.ui,3.0.2.v201201243020,"org.eclipse.jpt.jpa.ui",1341821861717
started,bundle,org.eclipse.mylyn.java.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.java.ui",1341821861728
started,bundle,org.eclipse.pde.api.tools,1.0.301.v20111129-2053,"org.eclipse.pde.api.tools",1341821861751
started,bundle,org.eclipse.pde.api.tools.ui,1.0.301.v20110803_r371,"org.eclipse.pde.api.tools.ui",1341821861752
started,bundle,org.jboss.tools.common.el.ui,3.3.0.v20120604-1949-H73-CR1,"org.jboss.tools.common.el.ui",1341821861756
started,bundle,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui",1341821861760
started,bundle,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui",1341821861760
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1341821867022
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341821869517
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341821900932
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1341821907262
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1341821909201
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341821911257
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341821919969
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1341821924052
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1341821926076
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1341821941906
started,bundle,org.eclipse.mylyn.context.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.context.ui",1341821941918
